"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 30일","54,700","54,100","55,500","53,900","1.80M","1.48%"
"2021년 04월 29일","53,900","55,400","55,400","53,900","0.03K","-2.00%"
"2021년 04월 28일","55,000","55,300","55,600","54,500","0.36K","0.00%"
"2021년 04월 27일","55,000","55,300","55,300","54,700","0.02K","0.00%"
"2021년 04월 26일","55,000","55,100","55,500","54,300","1.58M","1.29%"
"2021년 04월 25일","54,300","54,300","54,300","54,300","-","0.00%"
"2021년 04월 23일","54,300","53,500","55,800","53,300","3.10M","1.50%"
"2021년 04월 22일","53,500","52,600","53,600","52,400","5.53K","2.10%"
"2021년 04월 21일","52,400","52,600","52,800","52,000","0.50K","-1.32%"
"2021년 04월 20일","53,100","52,400","53,100","52,300","1.10K","1.53%"
"2021년 04월 19일","52,300","52,800","52,800","52,200","0.12K","-0.76%"
"2021년 04월 18일","52,700","52,700","52,700","52,700","-","0.00%"
"2021년 04월 16일","52,700","53,700","53,700","52,700","1.88M","-2.41%"
"2021년 04월 15일","54,000","53,400","54,400","53,300","2.45K","1.50%"
"2021년 04월 14일","53,200","53,100","53,500","52,800","1.08M","-0.56%"
"2021년 04월 13일","53,500","53,200","53,500","52,500","0.58K","0.19%"
"2021년 04월 12일","53,400","53,000","53,600","52,600","0.03K","1.52%"
"2021년 04월 11일","52,600","52,600","52,600","52,600","-","0.00%"
"2021년 04월 09일","52,600","53,300","53,300","52,500","922.98K","-0.38%"
"2021년 04월 08일","52,800","53,500","53,500","52,500","1.15M","-1.49%"
"2021년 04월 07일","53,600","52,800","53,800","52,700","0.28K","1.13%"
"2021년 04월 06일","53,000","53,800","54,400","52,700","0.12K","-2.93%"
"2021년 04월 05일","54,600","53,700","54,700","53,300","0.32K","1.30%"
"2021년 04월 04일","53,900","53,900","53,900","53,900","-","0.00%"
"2021년 04월 02일","53,900","54,000","54,800","53,600","1.31M","-2.00%"
"2021년 04월 01일","55,000","55,400","56,000","54,600","1.06K","-2.14%"
"2021년 03월 31일","56,200","55,700","56,200","55,700","0.26K","2.37%"
"2021년 03월 30일","54,900","53,900","55,900","53,700","1.82M","2.23%"
"2021년 03월 29일","53,700","52,800","54,000","52,200","0.18K","0.94%"
"2021년 03월 28일","53,200","53,200","53,200","53,200","-","0.00%"
"2021년 03월 26일","53,200","53,400","53,600","52,800","1.49M","1.14%"
"2021년 03월 25일","52,600","50,800","53,000","50,500","2.49M","3.14%"
"2021년 03월 24일","51,000","50,800","51,600","50,600","0.48K","-0.78%"
"2021년 03월 23일","51,400","51,900","52,000","50,600","0.21K","0.00%"
"2021년 03월 22일","51,400","49,800","51,600","49,550","0.45K","3.52%"
"2021년 03월 21일","49,650","49,650","49,650","49,650","-","0.00%"
"2021년 03월 19일","49,650","51,700","51,800","49,650","2.54M","-1.29%"
"2021년 03월 18일","50,300","50,700","51,000","49,050","0.00K","-0.79%"
"2021년 03월 17일","50,700","50,900","51,100","50,100","2.39K","-0.98%"
"2021년 03월 16일","51,200","50,900","51,700","50,700","0.01K","0.00%"
"2021년 03월 15일","51,200","51,200","51,700","50,100","2.05M","1.59%"
"2021년 03월 14일","50,400","50,400","50,400","50,400","-","0.00%"
"2021년 03월 12일","50,400","51,100","51,300","50,200","2.26M","-3.08%"
"2021년 03월 11일","52,000","52,100","53,700","51,500","3.62M","0.78%"
"2021년 03월 10일","51,600","51,000","52,100","50,100","3.88K","-1.90%"
"2021년 03월 09일","52,600","51,800","53,000","51,300","0.51K","5.31%"
"2021년 03월 08일","49,950","48,150","50,400","47,950","1.30K","6.28%"
"2021년 03월 07일","47,000","47,000","47,000","47,000","-","0.00%"
"2021년 03월 05일","47,000","46,350","47,400","45,950","4.05M","2.62%"
"2021년 03월 04일","45,800","45,500","46,400","44,950","0.27K","0.66%"
"2021년 03월 03일","45,500","44,750","45,500","44,200","2.46K","2.25%"
"2021년 03월 02일","44,500","44,250","45,250","44,100","0.10K","1.60%"
"2021년 02월 26일","43,800","44,650","44,650","43,500","2.52M","-2.12%"
"2021년 02월 25일","44,750","43,300","45,000","43,250","1.11K","3.71%"
"2021년 02월 24일","43,150","44,200","44,600","43,150","2.01M","-1.26%"
"2021년 02월 23일","43,700","43,750","44,000","43,200","0.33K","1.39%"
"2021년 02월 22일","43,100","43,800","43,950","43,100","2.69K","-1.03%"
"2021년 02월 19일","43,550","43,650","43,950","42,750","2.25M","-0.34%"
"2021년 02월 18일","43,700","44,500","44,850","43,700","0.14K","-2.46%"
"2021년 02월 17일","44,800","45,400","45,850","44,750","0.00K","-0.55%"
"2021년 02월 16일","45,050","45,200","45,450","44,300","0.02K","-0.55%"
"2021년 02월 15일","45,300","46,100","46,300","45,250","0.03K","-0.44%"
"2021년 02월 14일","45,500","45,500","45,500","45,500","-","0.00%"
"2021년 02월 10일","45,500","45,250","45,750","44,750","1.73M","1.68%"
"2021년 02월 09일","44,750","45,550","45,850","44,500","0.10K","-0.67%"
"2021년 02월 08일","45,050","44,500","45,450","43,900","3.19M","1.58%"
"2021년 02월 07일","44,350","44,350","44,350","44,350","-","0.00%"
"2021년 02월 05일","44,350","42,700","44,350","42,250","3.55M","5.47%"
"2021년 02월 04일","42,050","42,450","42,650","41,500","1.10K","0.24%"
"2021년 02월 03일","41,950","42,300","42,950","41,650","0.01K","0.24%"
"2021년 02월 02일","41,850","42,100","42,450","41,550","0.47K","-0.59%"
"2021년 02월 01일","42,100","40,550","42,600","40,450","1.99M","4.47%"
"2021년 01월 31일","40,300","40,300","40,300","40,300","-","0.00%"
"2021년 01월 29일","40,300","42,450","42,450","40,250","3.04M","-1.95%"
"2021년 01월 28일","41,100","41,750","41,750","40,750","0.27K","-3.07%"
"2021년 01월 27일","42,400","43,300","43,500","42,400","0.17K","-1.40%"
"2021년 01월 26일","43,000","43,850","43,850","43,000","0.33K","-2.49%"
"2021년 01월 25일","44,100","43,850","44,650","43,700","2.75K","0.11%"
"2021년 01월 24일","44,050","44,050","44,050","44,050","-","0.00%"
"2021년 01월 22일","44,050","44,450","44,800","44,050","2.21M","-1.56%"
"2021년 01월 21일","44,750","44,800","45,100","44,350","0.28K","-0.89%"
"2021년 01월 20일","45,150","45,200","45,250","44,550","0.03K","-0.11%"
"2021년 01월 19일","45,200","45,600","45,650","44,800","0.34K","-0.11%"
"2021년 01월 18일","45,250","45,200","45,350","44,500","0.10K","0.11%"
"2021년 01월 17일","45,200","45,200","45,200","45,200","-","0.00%"
"2021년 01월 15일","45,200","46,950","47,100","45,100","2.54M","-2.90%"
"2021년 01월 14일","46,550","47,550","47,550","46,550","0.01K","-1.59%"
"2021년 01월 13일","47,300","46,800","47,900","46,600","1.07K","2.38%"
"2021년 01월 12일","46,200","46,100","46,800","45,250","4.14M","0.65%"
"2021년 01월 11일","45,900","46,500","46,750","44,900","1.02K","-1.29%"
"2021년 01월 10일","46,500","46,500","46,500","46,500","-","0.00%"
"2021년 01월 08일","46,500","46,800","46,800","45,550","3.69M","1.09%"
"2021년 01월 07일","46,000","45,500","46,250","45,300","0.00K","4.55%"
"2021년 01월 06일","44,000","43,850","44,700","43,350","3.62M","1.03%"
"2021년 01월 05일","43,550","42,600","43,750","41,900","0.10K","2.59%"
"2021년 01월 04일","42,450","43,150","43,150","42,150","0.42K","-2.19%"
"2020년 12월 30일","43,400","43,550","43,600","42,750","2.02M","0.00%"
"2020년 12월 29일","43,400","44,450","44,450","43,250","0.67K","-4.82%"
"2020년 12월 28일","45,600","45,650","45,700","45,200","0.27K","0.33%"
"2020년 12월 27일","45,450","45,450","45,450","45,450","-","0.00%"
"2020년 12월 24일","45,450","44,650","45,450","44,500","1.31M","3.30%"
"2020년 12월 23일","44,000","44,450","44,500","43,600","0.20K","-1.23%"
"2020년 12월 22일","44,550","45,200","45,250","44,450","4.11K","-1.33%"
"2020년 12월 21일","45,150","45,100","45,250","44,650","3.07K","0.44%"
"2020년 12월 20일","44,950","44,950","44,950","44,950","-","0.00%"
"2020년 12월 18일","44,950","45,600","45,650","44,900","2.02M","-0.66%"
"2020년 12월 17일","45,250","46,000","46,000","45,050","0.03K","-1.74%"
"2020년 12월 16일","46,050","46,500","46,600","45,800","0.02K","-0.54%"
"2020년 12월 15일","46,300","46,850","46,900","46,000","1.47M","-1.49%"
"2020년 12월 14일","47,000","47,200","47,200","46,600","0.17K","-0.21%"
"2020년 12월 13일","47,100","47,100","47,100","47,100","-","0.00%"
"2020년 12월 11일","47,100","47,250","47,450","46,850","1.85M","1.51%"
"2020년 12월 10일","46,400","46,300","46,800","45,700","2.54M","0.54%"
"2020년 12월 09일","46,150","45,550","46,550","45,500","0.02K","0.54%"
"2020년 12월 08일","45,900","46,650","46,650","45,500","0.81K","-2.75%"
"2020년 12월 07일","47,200","47,200","47,250","46,100","1.82M","0.00%"
"2020년 12월 06일","47,200","47,200","47,200","47,200","-","0.00%"
"2020년 12월 04일","47,200","47,050","47,700","46,700","1.74M","0.11%"
"2020년 12월 03일","47,150","46,800","47,250","46,350","0.70K","0.75%"
"2020년 12월 02일","46,800","46,300","46,800","45,950","1.73M","1.96%"
"2020년 12월 01일","45,900","45,800","46,700","45,650","0.09K","1.21%"
"2020년 11월 30일","45,350","47,650","47,950","45,350","3.70M","-5.42%"
"2020년 11월 29일","47,950","47,950","47,950","47,950","-","0.00%"
"2020년 11월 27일","47,950","47,800","48,300","47,500","1.21M","-1.03%"
"2020년 11월 26일","48,450","47,700","48,450","47,300","0.02K","0.31%"
"2020년 11월 25일","48,300","47,000","48,400","46,950","0.11K","4.09%"
"2020년 11월 24일","46,400","46,500","46,700","45,950","1.48M","-0.11%"
"2020년 11월 23일","46,450","45,800","46,750","45,600","1.54M","1.75%"
"2020년 11월 22일","45,650","45,650","45,650","45,650","-","0.00%"
"2020년 11월 20일","45,650","45,800","46,400","45,600","1.89M","-1.83%"
"2020년 11월 19일","46,500","46,150","46,500","45,550","0.68K","-0.75%"
"2020년 11월 18일","46,850","46,500","46,850","46,000","0.03K","0.64%"
"2020년 11월 17일","46,550","45,800","46,650","45,700","0.03K","1.86%"
"2020년 11월 16일","45,700","45,050","46,600","45,000","1.77M","1.67%"
"2020년 11월 15일","44,950","44,950","44,950","44,950","-","0.00%"
"2020년 11월 13일","44,950","45,500","45,750","44,600","2.25M","-3.02%"
"2020년 11월 12일","46,350","47,350","47,350","46,100","0.15K","-1.90%"
"2020년 11월 11일","47,250","45,450","47,400","45,300","0.48K","5.70%"
"2020년 11월 10일","44,700","44,900","45,500","44,050","0.03K","4.07%"
