Date,Close
2000-01-03,6.457
2000-01-04,6.396
2000-01-05,6.489
2000-01-06,6.45
2000-01-07,6.397
2000-01-10,6.459
2000-01-11,6.568
2000-01-12,6.607
2000-01-13,6.514
2000-01-14,6.569
2000-01-18,6.625
2000-01-19,6.594
2000-01-20,6.633
2000-01-21,6.65
2000-01-24,6.572
2000-01-25,6.58
2000-01-26,6.612
2000-01-27,6.651
2000-01-28,6.66
2000-01-31,6.692
2000-02-01,6.661
2000-02-02,6.677
2000-02-03,6.552
2000-02-04,6.632
2000-02-07,6.735
2000-02-08,6.727
2000-02-09,6.744
2000-02-10,6.76
2000-02-11,6.737
2000-02-14,6.658
2000-02-15,6.706
2000-02-16,6.699
2000-02-17,6.747
2000-02-18,6.677
2000-02-22,6.542
2000-02-23,6.638
2000-02-24,6.527
2000-02-25,6.481
2000-02-28,6.568
2000-02-29,6.593
2000-03-01,6.561
2000-03-02,6.601
2000-03-03,6.579
2000-03-06,6.627
2000-03-07,6.587
2000-03-08,6.58
2000-03-09,6.548
2000-03-10,6.597
2000-03-13,6.566
2000-03-14,6.502
2000-03-15,6.494
2000-03-16,6.455
2000-03-17,6.44
2000-03-20,6.448
2000-03-21,6.432
2000-03-22,6.409
2000-03-23,6.377
2000-03-24,6.49
2000-03-27,6.506
2000-03-28,6.475
2000-03-29,6.427
2000-03-30,6.355
2000-03-31,6.332
2000-04-03,6.284
2000-04-04,6.094
2000-04-05,6.157
2000-04-06,6.213
2000-04-07,6.182
2000-04-10,6.103
2000-04-11,6.174
2000-04-12,6.262
2000-04-13,6.207
2000-04-14,6.167
2000-04-17,6.216
2000-04-18,6.256
2000-04-19,6.224
2000-04-20,6.232
2000-04-24,6.225
2000-04-25,6.363
2000-04-26,6.396
2000-04-27,6.526
2000-04-28,6.552
2000-05-01,6.56
2000-05-02,6.602
2000-05-03,6.66
2000-05-04,6.694
2000-05-05,6.77
2000-05-08,6.812
2000-05-09,6.78
2000-05-10,6.668
2000-05-11,6.653
2000-05-12,6.75
2000-05-15,6.72
2000-05-16,6.705
2000-05-17,6.727
2000-05-18,6.78
2000-05-19,6.72
2000-05-22,6.637
2000-05-23,6.675
2000-05-24,6.689
2000-05-25,6.615
2000-05-26,6.57
2000-05-30,6.607
2000-05-31,6.532
2000-06-01,6.435
2000-06-02,6.368
2000-06-05,6.323
2000-06-06,6.345
2000-06-07,6.338
2000-06-08,6.337
2000-06-09,6.351
2000-06-12,6.314
2000-06-13,6.306
2000-06-14,6.247
2000-06-15,6.247
2000-06-16,6.172
2000-06-19,6.201
2000-06-20,6.216
2000-06-21,6.297
2000-06-22,6.312
2000-06-23,6.363
2000-06-26,6.296
2000-06-27,6.273
2000-06-28,6.28
2000-06-29,6.206
2000-06-30,6.175
2000-07-03,6.116
2000-07-05,6.107
2000-07-06,6.152
2000-07-07,6.091
2000-07-10,6.121
2000-07-11,6.143
2000-07-12,6.18
2000-07-13,6.135
2000-07-14,6.238
2000-07-17,6.298
2000-07-18,6.29
2000-07-19,6.29
2000-07-20,6.147
2000-07-21,6.131
2000-07-24,6.169
2000-07-25,6.161
2000-07-26,6.153
2000-07-27,6.13
2000-07-28,6.144
2000-07-31,6.144
2000-08-01,6.106
2000-08-02,6.076
2000-08-03,6.068
2000-08-04,6.014
2000-08-07,6.059
2000-08-08,6.014
2000-08-09,6.028
2000-08-10,5.99
2000-08-11,6.057
2000-08-14,6.057
2000-08-15,6.094
2000-08-16,6.116
2000-08-17,6.109
2000-08-18,6.083
2000-08-21,6.085
2000-08-22,6.062
2000-08-23,6.016
2000-08-24,5.993
2000-08-25,5.992
2000-08-28,6.037
2000-08-29,6.067
2000-08-30,6.059
2000-08-31,5.975
2000-09-01,5.891
2000-09-05,5.905
2000-09-06,5.927
2000-09-07,5.957
2000-09-08,5.926
2000-09-11,5.963
2000-09-12,5.963
2000-09-13,5.917
2000-09-14,5.932
2000-09-15,5.916
2000-09-18,5.9
2000-09-19,5.907
2000-09-20,5.953
2000-09-21,5.945
2000-09-22,5.905
2000-09-25,5.912
2000-09-26,5.874
2000-09-27,5.873
2000-09-28,5.881
2000-09-29,5.833
2000-10-02,5.841
2000-10-03,5.886
2000-10-04,5.909
2000-10-05,5.878
2000-10-06,5.861
2000-10-09,5.861
2000-10-10,5.845
2000-10-11,5.798
2000-10-12,5.714
2000-10-13,5.705
2000-10-16,5.75
2000-10-17,5.658
2000-10-18,5.657
2000-10-19,5.664
2000-10-20,5.671
2000-10-23,5.632
2000-10-24,5.67
2000-10-25,5.738
2000-10-26,5.73
2000-10-27,5.783
2000-10-30,5.806
2000-10-31,5.813
2000-11-01,5.774
2000-11-02,5.773
2000-11-03,5.85
2000-11-06,5.888
2000-11-07,5.896
2000-11-08,5.822
2000-11-09,5.764
2000-11-10,5.75
2000-11-13,5.714
2000-11-14,5.714
2000-11-15,5.677
2000-11-16,5.648
2000-11-17,5.662
2000-11-20,5.633
2000-11-21,5.64
2000-11-22,5.575
2000-11-24,5.575
2000-11-27,5.618
2000-11-28,5.567
2000-11-29,5.502
2000-11-30,5.393
2000-12-01,5.457
2000-12-04,5.443
2000-12-05,5.349
2000-12-06,5.255
2000-12-07,5.255
2000-12-08,5.304
2000-12-11,5.318
2000-12-12,5.318
2000-12-13,5.239
2000-12-14,5.167
2000-12-15,5.13
2000-12-18,5.094
2000-12-19,5.115
2000-12-20,5
2000-12-21,4.928
2000-12-22,4.892
2000-12-26,4.891
2000-12-27,4.983
2000-12-28,5.004
2000-12-29,4.981
2001-01-02,4.752
2001-01-03,4.923
2001-01-04,4.808
2001-01-05,4.672
2001-01-08,4.601
2001-01-09,4.706
2001-01-10,4.812
2001-01-11,4.826
2001-01-12,4.947
2001-01-16,4.932
2001-01-17,4.838
2001-01-18,4.73
2001-01-19,4.825
2001-01-22,4.843
2001-01-23,4.929
2001-01-24,4.95
2001-01-25,4.928
2001-01-26,4.89
2001-01-29,4.933
2001-01-30,4.882
2001-01-31,4.838
2001-02-01,4.723
2001-02-02,4.829
2001-02-05,4.843
2001-02-06,4.894
2001-02-07,4.886
2001-02-08,4.893
2001-02-09,4.819
2001-02-12,4.84
2001-02-13,4.883
2001-02-14,4.963
2001-02-15,5.036
2001-02-16,4.903
2001-02-20,4.91
2001-02-21,4.917
2001-02-22,4.916
2001-02-23,4.812
2001-02-26,4.775
2001-02-27,4.716
2001-02-28,4.65
2001-03-01,4.628
2001-03-02,4.714
2001-03-05,4.728
2001-03-06,4.727
2001-03-07,4.676
2001-03-08,4.653
2001-03-09,4.71
2001-03-12,4.695
2001-03-13,4.687
2001-03-14,4.584
2001-03-15,4.51
2001-03-16,4.472
2001-03-19,4.53
2001-03-20,4.493
2001-03-21,4.441
2001-03-22,4.382
2001-03-23,4.48
2001-03-26,4.511
2001-03-27,4.665
2001-03-28,4.635
2001-03-29,4.605
2001-03-30,4.544
2001-04-02,4.595
2001-04-03,4.543
2001-04-04,4.505
2001-04-05,4.556
2001-04-06,4.451
2001-04-09,4.473
2001-04-10,4.62
2001-04-11,4.679
2001-04-12,4.738
2001-04-16,4.886
2001-04-17,4.788
2001-04-18,4.66
2001-04-19,4.757
2001-04-20,4.778
2001-04-23,4.695
2001-04-24,4.687
2001-04-25,4.777
2001-04-26,4.716
2001-04-27,4.835
2001-04-30,4.888
2001-05-01,4.85
2001-05-02,4.857
2001-05-03,4.795
2001-05-04,4.741
2001-05-07,4.74
2001-05-08,4.717
2001-05-09,4.639
2001-05-10,4.738
2001-05-11,4.982
2001-05-14,4.91
2001-05-15,4.946
2001-05-16,4.946
2001-05-17,5.004
2001-05-18,4.983
2001-05-21,4.99
2001-05-22,4.961
2001-05-23,4.94
2001-05-24,5.034
2001-05-25,5.013
2001-05-29,5.028
2001-05-30,5.028
2001-05-31,4.941
2001-06-01,4.912
2001-06-04,4.891
2001-06-05,4.818
2001-06-06,4.833
2001-06-07,4.84
2001-06-08,4.877
2001-06-11,4.84
2001-06-12,4.79
2001-06-13,4.79
2001-06-14,4.718
2001-06-15,4.696
2001-06-18,4.696
2001-06-19,4.696
2001-06-20,4.667
2001-06-21,4.66
2001-06-22,4.61
2001-06-25,4.609
2001-06-26,4.711
2001-06-27,4.776
2001-06-28,4.893
2001-06-29,4.93
2001-07-02,4.835
2001-07-03,4.857
2001-07-05,4.901
2001-07-06,4.865
2001-07-09,4.821
2001-07-10,4.74
2001-07-11,4.77
2001-07-12,4.733
2001-07-13,4.763
2001-07-16,4.711
2001-07-17,4.719
2001-07-18,4.609
2001-07-19,4.638
2001-07-20,4.631
2001-07-23,4.638
